endpoint_index	meddra_pt_code	meddra_pt_name	positive_frequency_decile	split
740	10034156	Pathological fracture	7	training
741	10034158	Pathological gambling	2	training
742	10034263	Pelvic pain	1	training
743	10034341	Peptic ulcer	6	training
744	10034464	Periarthritis	0	training
745	10034474	Pericardial effusion	8	validation
746	10034484	Pericarditis	2	training
747	10034536	Periodontal disease	4	test
748	10034539	Periodontitis	4	training
749	10034568	Peripheral coldness	1	training
750	10034576	Peripheral ischaemia	4	training
751	10034620	Peripheral sensory neuropathy	2	training
752	10034636	Peripheral vascular disorder	8	training
753	10034674	Peritonitis	5	training
754	10034701	Peroneal nerve palsy	2	training
755	10034719	Personality change	0	training
756	10034721	Personality disorder	1	training
757	10034754	Petechiae	5	validation
758	10034829	Pharyngeal oedema	3	training
759	10034835	Pharyngitis	7	validation
760	10034844	Pharyngolaryngeal pain	1	training
761	10034879	Phlebitis	4	training
762	10034960	Photophobia	2	test
763	10034972	Photosensitivity reaction	0	test
764	10035155	Plantar fasciitis	3	training
765	10035226	Plasma cell myeloma	6	test
766	10035484	Plasmacytoma	0	training
767	10035528	Platelet count decreased	9	test
768	10035598	Pleural effusion	9	test
769	10035600	Pleural fibrosis	5	training
770	10035618	Pleurisy	3	training
771	10035623	Pleuritic pain	4	training
772	10035664	Pneumonia	9	validation
773	10035669	Pneumonia aspiration	8	training
774	10035717	Pneumonia klebsiella	0	validation
775	10035734	Pneumonia staphylococcal	2	validation
776	10035742	Pneumonitis	7	training
777	10035759	Pneumothorax	7	test
778	10036018	Pollakiuria	7	training
779	10036067	Polydipsia	1	training
780	10036105	Polyneuropathy	5	test
781	10036142	Polyuria	3	training
782	10036316	Post-traumatic stress disorder	5	training
783	10036410	Postoperative wound infection	0	test
784	10036556	Pregnancy	0	training
785	10036590	Premature baby	3	training
786	10036653	Presyncope	7	validation
787	10036772	Proctalgia	3	training
788	10036790	Productive cough	8	training
789	10036807	Progressive multifocal leukoencephalopathy	3	validation
790	10036975	Prostatic specific antigen increased	2	training
791	10036978	Prostatitis	0	test
792	10037014	Protein total decreased	3	test
793	10037032	Proteinuria	6	training
794	10037063	Prothrombin time prolonged	7	training
795	10037087	Pruritus	7	training
796	10037128	Pseudomembranous colitis	2	validation
797	10037153	Psoriasis	3	training
798	10037162	Psoriatic arthropathy	0	training
799	10037211	Psychomotor hyperactivity	3	training
800	10037313	Pulmonary alveolar haemorrhage	3	training
801	10037368	Pulmonary congestion	8	training
802	10037377	Pulmonary embolism	9	test
803	10037383	Pulmonary fibrosis	8	training
804	10037391	Pulmonary granuloma	2	training
805	10037394	Pulmonary haemorrhage	4	training
806	10037400	Pulmonary hypertension	9	training
807	10037410	Pulmonary infarction	1	training
808	10037423	Pulmonary oedema	9	training
809	10037448	Pulmonary valve incompetence	4	test
810	10037469	Pulse absent	4	validation
811	10037549	Purpura	5	test
812	10037569	Purulent discharge	6	training
813	10037596	Pyelonephritis	6	training
814	10037660	Pyrexia	9	test
815	10037779	Radiculopathy	5	validation
816	10037802	Radius fracture	3	training
817	10037833	Rales	7	test
818	10037844	Rash	7	test
819	10037855	Rash erythematous	5	training
820	10037858	Rash generalised	3	test
821	10037867	Rash macular	3	training
822	10037868	Rash maculo-papular	6	test
823	10037876	Rash papular	3	test
824	10037884	Rash pruritic	4	training
825	10037888	Rash pustular	1	training
826	10038063	Rectal haemorrhage	8	validation
827	10038153	Red blood cell count decreased	7	training
828	10038263	Reflux oesophagitis	1	test
829	10038378	Renal artery stenosis	3	validation
830	10038381	Renal atrophy	2	test
831	10038423	Renal cyst	8	training
832	10038428	Renal disorder	7	training
833	10038435	Renal failure	9	training
834	10038436	Renal failure acute	9	test
835	10038444	Renal failure chronic	9	training
836	10038537	Renal tubular disorder	1	test
837	10038540	Renal tubular necrosis	7	training
838	10038642	Resorption bone increased	0	test
839	10038661	Respiratory acidosis	3	test
840	10038669	Respiratory arrest	6	training
841	10038678	Respiratory depression	4	training
842	10038683	Respiratory disorder	3	validation
843	10038687	Respiratory distress	8	training
844	10038695	Respiratory failure	9	training
845	10038712	Respiratory rate increased	4	validation
846	10038743	Restlessness	6	training
847	10038776	Retching	4	training
848	10038867	Retinal haemorrhage	0	training
849	10038980	Retroperitoneal haemorrhage	1	training
850	10039020	Rhabdomyolysis	8	training
851	10039073	Rheumatoid arthritis	7	training
852	10039083	Rhinitis	6	test
853	10039085	Rhinitis allergic	8	training
854	10039101	Rhinorrhoea	5	validation
855	10039109	Rhonchi	5	training
856	10039117	Rib fracture	9	training
857	10039163	Right ventricular failure	4	training
858	10039203	Road traffic accident	7	training
859	10039227	Rotator cuff syndrome	8	test
860	10039424	Salivary hypersecretion	1	training
861	10039580	Scar	6	validation
862	10039621	Schizoaffective disorder	0	training
863	10039626	Schizophrenia	3	training
864	10039674	Sciatica	7	test
865	10039722	Scoliosis	8	validation
866	10039796	Seborrhoeic keratosis	3	training
867	10039801	Second primary malignancy	4	training
868	10039897	Sedation	6	training
869	10040026	Sensory disturbance	1	test
870	10040030	Sensory loss	4	training
871	10040047	Sepsis	9	training
872	10040070	Septic shock	9	training
873	10040108	Serotonin syndrome	6	validation
874	10040250	Serum ferritin increased	0	training
875	10040477	Sexual dysfunction	1	training
876	10040560	Shock	7	training
877	10040617	Shoulder pain	1	training
878	10040639	Sick sinus syndrome	5	training
879	10040741	Sinus bradycardia	7	test
880	10040742	Sinus congestion	5	training
881	10040744	Sinus headache	1	test
882	10040752	Sinus tachycardia	8	training
883	10040753	Sinusitis	9	test
884	10040808	Skin cancer	1	training
885	10040829	Skin discolouration	4	training
886	10040831	Skin disorder	4	test
887	10040844	Skin exfoliation	5	training
888	10040865	Skin hyperpigmentation	1	training
889	10040867	Skin hypertrophy	4	training
890	10040872	Skin infection	1	training
891	10040880	Skin irritation	0	validation
892	10040882	Skin lesion	7	training
893	10040943	Skin ulcer	8	training
894	10040979	Sleep apnoea syndrome	9	training
895	10040984	Sleep disorder	8	training
896	10041101	Small intestinal obstruction	7	test
897	10041235	Snoring	5	training
898	10041243	Social avoidant behaviour	4	test
899	10041347	Somnambulism	0	training
900	10041349	Somnolence	9	training
901	10041466	Speech disorder	6	validation
902	10041540	Spinal column stenosis	8	validation
903	10041541	Spinal compression fracture	7	validation
904	10041549	Spinal cord compression	3	training
905	10041569	Spinal fracture	5	validation
906	10041591	Spinal osteoarthritis	9	training
907	10041660	Splenomegaly	6	training
908	10041807	Sputum discoloured	5	training
909	10041823	Squamous cell carcinoma	3	training
910	10041834	Squamous cell carcinoma of skin	0	test
911	10041962	Status epilepticus	3	training
912	10042033	Stevens-Johnson syndrome	6	validation
913	10042101	Stomach discomfort	0	test
914	10042128	Stomatitis	8	training
915	10042209	Stress	8	training
916	10042212	Stress fracture	5	training
917	10042316	Subarachnoid haemorrhage	4	training
918	10042343	Subcutaneous abscess	0	training
919	10042361	Subdural haematoma	7	training
920	10042434	Sudden death	4	training
921	10042458	Suicidal ideation	8	training
922	10042464	Suicide attempt	7	test
923	10042602	Supraventricular extrasystoles	6	training
924	10042604	Supraventricular tachycardia	7	training
925	10042609	Surgery	3	test
926	10042674	Swelling	8	training
927	10042682	Swelling face	5	test
928	10042727	Swollen tongue	4	validation
929	10042772	Syncope	9	training
930	10042858	Synovial cyst	5	test
931	10042868	Synovitis	4	training
932	10042945	Systemic lupus erythematosus	4	training
933	10043071	Tachycardia	9	training
934	10043089	Tachypnoea	6	training
935	10043118	Tardive dyskinesia	8	training
936	10043169	Tearfulness	1	training
937	10043220	Temporomandibular joint syndrome	3	training
938	10043224	Tenderness	7	test
939	10043239	Tendon disorder	1	training
940	10043248	Tendon rupture	1	training
941	10043255	Tendonitis	5	training
942	10043261	Tenosynovitis	0	training
943	10043269	Tension headache	0	test
944	10043408	Therapeutic agent toxicity	7	training
945	10043414	Therapeutic response decreased	3	validation
946	10043417	Therapeutic response unexpected	0	validation
947	10043431	Thinking abnormal	3	test
948	10043458	Thirst	3	training
949	10043521	Throat irritation	3	training
950	10043528	Throat tightness	0	training
951	10043554	Thrombocytopenia	9	training
952	10043570	Thrombophlebitis	4	training
953	10043595	Thrombophlebitis superficial	5	test
954	10043607	Thrombosis	6	training
955	10043645	Thrombotic microangiopathy	3	training
956	10043648	Thrombotic thrombocytopenic purpura	0	test
957	10043709	Thyroid disorder	3	training
958	10043744	Thyroid neoplasm	4	training
959	10043827	Tibia fracture	2	validation
960	10043882	Tinnitus	5	test
961	10043903	Tobacco abuse	2	training
962	10043951	Tongue disorder	1	training
963	10043991	Tongue ulceration	0	training
964	10044016	Tooth abscess	7	training
965	10044034	Tooth disorder	6	test
966	10044044	Tooth loss	7	training
967	10044055	Toothache	7	training
968	10044066	Torsade de pointes	5	training
969	10044221	Toxic encephalopathy	0	training
970	10044223	Toxic epidermal necrolysis	7	training
971	10044390	Transient ischaemic attack	8	test
972	10044439	Transplant rejection	1	training
973	10044565	Tremor	9	training
974	10044640	Tricuspid valve incompetence	9	training
975	10044684	Trismus	0	test
976	10044755	Tuberculosis	1	test
977	10045170	Tumour lysis syndrome	4	training
978	10045285	Ulcer	3	training
979	10045458	Umbilical hernia	2	training
980	10045555	Unresponsive to stimuli	8	test
981	10046274	Upper gastrointestinal haemorrhage	7	training
982	10046306	Upper respiratory tract infection	9	test
983	10046542	Urinary hesitation	2	training
984	10046543	Urinary incontinence	8	training
985	10046555	Urinary retention	8	training
986	10046571	Urinary tract infection	9	training
987	10046572	Urinary tract infection enterococcal	1	training
988	10046735	Urticaria	4	training
989	10046798	Uterine leiomyoma	3	training
990	10046910	Vaginal haemorrhage	0	training
991	10046914	Vaginal infection	2	training
992	10046996	Varicose vein	4	training
993	10047115	Vasculitis	5	training
994	10047195	Vena cava thrombosis	0	training
995	10047216	Venoocclusive liver disease	2	training
996	10047249	Venous thrombosis	0	training
997	10047281	Ventricular arrhythmia	1	training
998	10047289	Ventricular extrasystoles	8	training
999	10047290	Ventricular fibrillation	7	training
1000	10047295	Ventricular hypertrophy	6	training
1001	10047302	Ventricular tachycardia	8	training
1002	10047340	Vertigo	6	test
1003	10047348	Vertigo positional	2	training
1004	10047386	Vestibular disorder	0	training
1005	10047461	Viral infection	4	validation
1006	10047513	Vision blurred	8	training
1007	10047531	Visual acuity reduced	4	training
1008	10047543	Visual disturbance	0	validation
1009	10047571	Visual impairment	5	training
1010	10047609	Vitamin B12 deficiency	4	test
1011	10047626	Vitamin D deficiency	8	training
1012	10047654	Vitreous floaters	1	training
1013	10047700	Vomiting	9	training
1014	10047895	Weight decreased	9	training
1015	10047899	Weight increased	9	training
1016	10047920	Wheelchair user	0	test
1017	10047924	Wheezing	8	training
1018	10047942	White blood cell count decreased	9	training
1019	10047943	White blood cell count increased	8	training
1020	10048010	Withdrawal syndrome	3	test
1021	10048031	Wound dehiscence	5	training
1022	10048038	Wound infection	5	training
1023	10048049	Wrist fracture	4	training
1024	10048294	Mental status changes	9	test
1025	10048302	Tubulointerstitial nephritis	4	training
1026	10048334	Mobility decreased	6	training
1027	10048393	Multiple sclerosis relapse	5	training
1028	10048439	Fibromyalgia	8	validation
1029	10048561	Stent placement	2	training
1030	10048595	Histiocytosis haematophagic	3	training
1031	10048620	Intracardiac thrombus	1	training
1032	10048624	Physical disability	2	test
1033	10048629	Wound secretion	0	training
1034	10048685	Oral infection	3	training
1035	10048706	Joint range of motion decreased	7	training
1036	10048709	Urosepsis	5	training
1037	10048762	Tooth infection	5	test
1038	10048777	Carotid bruit	0	training
1039	10048780	Myofascial pain syndrome	1	test
1040	10048799	Acute generalised exanthematous pustulosis	3	training
1041	10048832	Colon adenoma	1	training
1042	10048858	Ischaemic cardiomyopathy	7	validation
1043	10048865	Hypoacusis	3	training
1044	10048919	Performance status decreased	0	training
1045	10048948	Bedridden	2	test
1046	10048959	Peripheral swelling	4	training
1047	10048962	Brain oedema	4	validation
1048	10048964	Carotid artery occlusion	0	training
1049	10048975	Vascular pseudoaneurysm	0	training
1050	10049088	Osteopenia	9	validation
1051	10049119	Emotional distress	9	training
1052	10049146	Neck mass	0	training
1053	10049151	Neutropenic sepsis	6	training
1054	10049177	Drug screen positive	2	training
1055	10049187	Red blood cell sedimentation rate increased	3	training
1056	10049193	Drug exposure during pregnancy	5	training
1057	10049398	Gingival ulceration	0	validation
1058	10049414	Treatment noncompliance	8	training
1059	10049438	General physical health deterioration	9	training
1060	10049442	Implantable defibrillator insertion	0	training
1061	10049447	Tachyarrhythmia	2	test
1062	10049460	Abasia	6	training
1063	10049470	Bone density decreased	5	training
1064	10049564	Impaired driving ability	0	training
1065	10049666	Homicidal ideation	3	test
1066	10049694	Left ventricular dysfunction	8	training
1067	10049765	Bradyarrhythmia	0	test
1068	10049771	Shock haemorrhagic	3	training
1069	10049773	Left ventricular hypertrophy	8	test
1070	10049796	Excoriation	6	training
1071	10049803	Blood glucose fluctuation	2	training
1072	10049816	Muscle tightness	2	test
1073	10049848	Balance disorder	7	validation
1074	10049866	Aphagia	1	training
1075	10049947	Lumbar vertebral fracture	0	training
1076	10049948	Thoracic vertebral fracture	0	training
1077	10050012	Bradyphrenia	0	training
1078	10050031	Muscle strain	5	training
1079	10050040	VIIth nerve paralysis	3	training
1080	10050207	Skin fibrosis	1	test
1081	10050219	Lumbar radiculopathy	5	test
1082	10050256	Dysstasia	3	training
1083	10050296	Intervertebral disc protrusion	9	training
1084	10050337	Cerumen impaction	2	training
1085	10050380	Electrocardiogram T wave abnormal	4	training
1086	10050510	Ventricular hypokinesia	5	training
1087	10050528	Ejection fraction decreased	8	training
1088	10050558	Mitral valve calcification	4	training
1089	10050584	Contusion	9	training
1090	10050637	Skin tightness	4	training
1091	10050778	Walking aid user	4	training
1092	10050819	Musculoskeletal chest pain	8	test
1093	10050845	Cardioactive drug level increased	5	training
1094	10050904	Cytolytic hepatitis	6	training
1095	10050953	Lower gastrointestinal haemorrhage	5	training
1096	10050954	Activities of daily living impaired	7	training
1097	10051017	Staphylococcal bacteraemia	4	test
1098	10051055	Deep vein thrombosis	9	test
1099	10051076	Prescribed overdose	1	training
1100	10051077	Post procedural haemorrhage	2	training
1101	10051078	Lacunar infarction	4	training
1102	10051082	Therapy non-responder	0	training
1103	10051093	Cardiopulmonary failure	0	training
1104	10051128	Blood pressure inadequately controlled	2	validation
1105	10051290	Central nervous system lesion	0	training
1106	10051301	Exercise tolerance decreased	3	training
1107	10051327	Pharmaceutical product complaint	2	test
1108	10051379	Systemic inflammatory response syndrome	4	validation
1109	10051398	Malignant neoplasm progression	9	training
1110	10051482	Prostatomegaly	2	training
1111	10051576	Generalised erythema	0	training
1112	10051589	Large intestine polyp	4	training
1113	10051592	Acute coronary syndrome	6	validation
1114	10051608	Platelet count increased	4	test
1115	10051612	Sputum culture positive	3	test
1116	10051728	Bone erosion	2	training
1117	10051753	Vascular calcification	4	test
1118	10051792	Infusion related reaction	5	training
1119	10051837	Skin induration	4	validation
1120	10052066	Metabolic syndrome	2	training
1121	10052076	Haemodynamic instability	4	training
1122	10052238	Escherichia urinary tract infection	3	training
1123	10052251	Respiratory tract congestion	1	training
1124	10052293	Haemorrhagic anaemia	6	training
1125	10052302	Impaired work ability	2	training
1126	10052337	Diastolic dysfunction	6	training
1127	10052428	Wound	7	training
1128	10052460	Primary sequestrum	6	training
1129	10052576	Pruritus generalised	3	training
1130	10052804	Drug tolerance	2	training
1131	10052840	Cardiac flutter	2	test
1132	10052897	Nerve injury	3	training
1133	10052904	Musculoskeletal stiffness	7	test
1134	10053156	Musculoskeletal discomfort	6	training
1135	10053159	Organ failure	1	training
1136	10053198	Inappropriate antidiuretic hormone secretion	5	training
1137	10053213	Febrile bone marrow aplasia	2	training
1138	10053405	Brain natriuretic peptide increased	4	validation
1139	10053555	Arthritis bacterial	1	training
1140	10053573	Abscess jaw	1	training
1141	10053631	Bone swelling	1	training
1142	10053762	Off label use	6	training
1143	10053777	Meniscus lesion	3	training
1144	10053840	Bacterial sepsis	2	training
1145	10054107	Nodule	4	test
1146	10054196	Affect lability	0	test
1147	10054208	Aortic calcification	5	training
1148	10054236	Clostridium difficile infection	2	training
1149	10054263	Helicobacter infection	0	training
1150	10054786	Skin burning sensation	2	training
1151	10054787	Haemorrhoidal haemorrhage	0	training
1152	10054813	Facet joint syndrome	3	training
1153	10054889	Transaminases increased	5	training
1154	10055014	Cardiac stress test abnormal	0	test
1155	10055041	Intervertebral disc space narrowing	3	test
1156	10055113	Breast cancer metastatic	2	validation
1157	10055798	Haemorrhage	6	validation
1158	10055870	Postmenopausal haemorrhage	0	training
1159	10056325	Faecaloma	2	training
1160	10056342	Pulmonary mass	8	training
1161	10056370	Congestive cardiomyopathy	6	training
1162	10056407	Refusal of treatment by patient	5	training
1163	10056430	Staphylococcal sepsis	5	training
1164	10056529	Biliary dyskinesia	4	validation
1165	10056812	Body height decreased	4	test
1166	10056819	Gastric disorder	4	training
1167	10057040	Temperature intolerance	1	training
1168	10057320	Venous insufficiency	4	training
1169	10057371	Hypoaesthesia oral	4	training
1170	10057372	Paraesthesia oral	3	training
1171	10057581	Tobacco user	2	training
1172	10057666	Anxiety disorder	4	test
1173	10057667	Bipolar disorder	7	training
1174	10057668	Cognitive disorder	5	training
1175	10057765	Procedural complication	0	training
1176	10057840	Major depression	6	training
1177	10057867	Multiple drug overdose	4	validation
1178	10057970	Toxic skin eruption	5	training
1179	10058046	Post procedural complication	5	training
1180	10058080	Staphylococcal infection	9	training
1181	10058097	Metabolic disorder	0	training
1182	10058108	Dyslipidaemia	7	training
1183	10058151	Pulseless electrical activity	2	training
1184	10058267	Troponin increased	5	test
1185	10058360	Retroperitoneal haematoma	0	training
1186	10058467	Lung neoplasm malignant	5	validation
1187	10058648	Aortic disorder	0	training
1188	10058709	Sopor	2	training
1189	10058818	Skin laceration	2	training
1190	10058854	Cytomegalovirus viraemia	0	training
1191	10058907	Spinal deformity	1	test
1192	10058919	Drug rash with eosinophilia and systemic symptoms	5	training
1193	10058920	Restless legs syndrome	8	test
1194	10059056	Ventricular dysfunction	3	training
1195	10059245	Angiopathy	2	training
1196	10059282	Metastases to central nervous system	5	test
1197	10059442	Wound infection staphylococcal	2	test
1198	10059570	Blood alkaline phosphatase increased	9	test
1199	10059865	Jugular vein distension	0	validation
1200	10059866	Drug resistance	1	training
1201	10059895	Urine output decreased	6	test
1202	10060734	Diabetic foot	2	training
1203	10060795	Hepatic enzyme increased	5	training
1204	10060800	Hot flush	6	training
1205	10060820	Joint injury	7	training
1206	10060860	Neurological symptom	2	validation
1207	10060862	Prostate cancer	3	test
1208	10060921	Abdominal abscess	0	training
1209	10060945	Bacterial infection	6	training
1210	10060946	Pneumonia bacterial	4	training
1211	10060954	Abdominal hernia	5	training
1212	10061011	Bladder disorder	1	test
1213	10061024	Cardiac disorder	6	training
1214	10061043	Clostridial infection	4	training
1215	10061104	Diabetic complication	3	test
1216	10061105	Dialysis	6	training
1217	10061111	Drug abuser	4	training
1218	10061114	Economic problem	9	training
1219	10061117	Electrocardiogram ST-T change	1	test
1220	10061124	Enterococcal infection	6	training
1221	10061126	Escherichia infection	4	training
1222	10061159	Foot deformity	4	validation
1223	10061161	Pelvic fracture	3	training
1224	10061169	Embolism	0	training
1225	10061200	Heart injury	1	training
1226	10061218	Inflammation	7	training
1227	10061224	Limb discomfort	3	validation
1228	10061225	Limb injury	6	test
1229	10061229	Lung infection	6	test
1230	10061246	Intervertebral disc degeneration	9	training
1231	10061255	Ischaemia	4	training
1232	10061256	Ischaemic stroke	3	test
1233	10061257	Jaw disorder	4	training
1234	10061259	Klebsiella infection	3	test
1235	10061273	Malnutrition	8	training
1236	10061284	Mental disorder	8	test
1237	10061289	Metastatic neoplasm	2	training
1238	10061296	Motor dysfunction	1	training
1239	10061309	Neoplasm progression	5	training
1240	10061318	Oesophageal disorder	1	training
1241	10061355	Poisoning	4	validation
1242	10061366	Soft tissue disorder	0	training
1243	10061368	Spinal disorder	5	validation
1244	10061372	Streptococcal infection	2	training
1245	10061394	Upper limb fracture	5	test
1246	10061406	Cardiac valve disease	6	training
1247	10061422	Abnormal behaviour	6	training
1248	10061428	Decreased appetite	9	training
1249	10061461	Erectile dysfunction	6	training
1250	10061471	Pseudomonas infection	5	training
1251	10061472	Psychiatric symptom	1	training
1252	10061481	Renal injury	8	training
1253	10061520	Ill-defined disorder	7	training
1254	10061521	Intervertebral disc disorder	7	training
1255	10061529	Polyp	3	test
1256	10061532	Mitral valve disease	2	validation
1257	10061536	Parkinson's disease	4	test
1258	10061593	Echocardiogram abnormal	5	training
1259	10061598	Immunodeficiency	1	training
1260	10061599	Lower limb fracture	3	training
1261	10061619	Deformity	8	training
1262	10061623	Adverse drug reaction	0	test
1263	10061728	Bone lesion	7	training
1264	10061744	Carotid artery disease	3	training
1265	10061818	Disease progression	8	test
1266	10061819	Disease recurrence	2	training
1267	10061822	Drug intolerance	3	training
1268	10061835	Diabetic nephropathy	4	training
1269	10061873	Non-small cell lung cancer	2	training
1270	10061877	Obstructive airways disorder	5	test
1271	10061880	Occult blood positive	4	training
1272	10061920	Psychotic disorder	7	test
1273	10061998	Hepatic lesion	5	training
1274	10062015	Immunosuppressant drug level increased	0	training
1275	10062016	Immunosuppression	3	training
1276	10062042	Lung neoplasm	6	validation
1277	10062060	Hyperlipidaemia	9	training
1278	10062132	Tooth extraction	4	training
1279	10062189	Vitamin D decreased	2	test
1280	10062190	Metabolic encephalopathy	5	training
1281	10062211	Neck injury	3	training
1282	10062237	Renal impairment	9	training
1283	10062244	Sinus disorder	5	test
1284	10062254	Social problem	0	test
1285	10062352	Respiratory tract infection	3	training
1286	10062355	Unevaluable event	8	training
1287	10062501	Non-cardiac chest pain	5	training
1288	10062506	Heparin-induced thrombocytopenia	4	training
1289	10062519	Poor quality sleep	3	training
1290	10062544	Tooth fracture	7	training
1291	10062585	Peripheral arterial occlusive disease	4	test
1292	10062599	Arterial occlusive disease	3	test
1293	10062713	Haemorrhagic diathesis	0	training
1294	10062717	Increased upper airway secretion	2	training
1295	10062764	Multiple drug overdose intentional	2	validation
1296	10063495	Self injurious behaviour	0	training
1297	10063550	Spondylolisthesis	5	training
1298	10063560	Excessive granulation tissue	1	test
1299	10063581	Stem cell transplant	1	training
1300	10063655	Erosive oesophagitis	0	training
1301	10063670	No therapeutic response	3	training
1302	10063743	Hypophagia	8	test
1303	10063829	Device malfunction	3	training
1304	10063889	Oral intake reduced	3	training
1305	10064108	Pneumocystis jiroveci pneumonia	4	training
1306	10064211	Bone fragmentation	2	test
1307	10064294	Drug dose omission	4	training
1308	10064307	Incorrect drug administration duration	2	training
1309	10064353	Wrong technique in drug usage process	3	training
1310	10064355	Incorrect dose administered	2	training
1311	10064658	Osteonecrosis of jaw	9	training
1312	10064687	Device related infection	7	test
1313	10064780	Breath sounds abnormal	6	training
1314	10064911	Pulmonary arterial hypertension	3	training
1315	10065166	Excessive eye blinking	0	training
1316	10065553	Bone marrow failure	7	training
1317	10065558	Aortic arteriosclerosis	7	training
1318	10065612	Loose tooth	6	test
1319	10065679	Intentional drug misuse	3	validation
1320	10065687	Bone loss	5	training
1321	10066169	Substance abuse	1	training
1322	10066260	Acute graft versus host disease	1	training
1323	10066262	Acute graft versus host disease in skin	0	training
1324	10066392	Fear of death	0	training
1325	10066901	Treatment failure	0	training
1326	10067125	Liver injury	1	training
1327	10067152	Oral herpes	2	training
1328	10067221	Mechanical ventilation	0	training
1329	10067286	Left atrial dilatation	6	training
1330	10067450	Endotracheal intubation	2	training
1331	10067467	Nephrogenic systemic fibrosis	7	validation
1332	10067584	Type 1 diabetes mellitus	7	training
1333	10067585	Type 2 diabetes mellitus	9	validation
1334	10067620	Quality of life decreased	0	training
1335	10067621	Oral disorder	6	training
1336	10067946	Renal cell carcinoma	0	training
1337	10067967	Brain injury	1	training
1338	10068319	Oropharyngeal pain	7	test
1339	10069327	Product quality issue	1	training
1340	10069339	Acute kidney injury	5	validation
1341	10069690	Vertebral foraminal stenosis	4	test
1342	10070488	Upper-airway cough syndrome	4	training
1343	10070511	Hypoxic-ischaemic encephalopathy	2	training
1344	10070863	Toxicity to various agents	8	training
1345	10070878	Cerebral small vessel ischaemic disease	1	test
1346	10071014	Exposed bone in jaw	7	training
1347	10071066	Posterior reversible encephalopathy syndrome	2	training
1348	10071404	Foetal exposure during pregnancy	1	test
1349	10071408	Maternal exposure during pregnancy	1	test
1350	10072005	Spinal pain	2	test
1351	10072268	Drug-induced liver injury	1	training
1352	10072970	Meniscus injury	1	training
1353	10073302	Exposure via ingestion	1	training
1354	10073508	Drug reaction with eosinophilia and systemic symptoms	5	training
1355	10073513	Exposure during pregnancy	1	training
1356	10074170	Candida infection	5	training
1357	10074903	Intentional product misuse	1	training
